ProdCategory,ProdNumber,ProdName,Price
Solar panels,KESP200,K-Eco 200,654
Solar panels,KESP255,K-Eco 250x,869
Landscape lighting,KESC100,Security lights,65.5
Lightbulbs,KESL094,K-Eco Smart Bulbs 9W dimmable (4-pack),29.25
Grid Tie Inverters,KIGT013,K-Invert 13K,3510
Lightbulbs,KELB094,K-Eco Energy Bulbs 9W (4-pack),12.97
Solar panels,KESP275,K-Eco 275,899.25
Batteries,KEBA312,K-Eco  AAA NiMH rechargeable batteries (12-pack),13.99
Lightbulbs,KELB234,K-Eco Energy Bulbs 23W (4-pack),18.99
Landscape lighting,KERL500,Rope lights - Purple,26.99
Lightbulbs,KELB208,K-Eco Energy Bulbs 20W  (8-pack),28.7
Landscape lighting,KECL060,Bistro String lights - 60 ft - Multicolor,59.99
Wind harvester,KEWH005,K-Eco Breeze Mini ,55
Landscape lighting,KECL100,Bistro String lights - 100 ft- Multicolor,89.99
Batteries,KEBA308,K-Eco  AAA NiMH rechargeable batteries  (8-pack),9.99
Lightbulbs,KELB204,K-Eco Energy Bulbs 20W (4-pack),17.5
Solar panels,KESP250,K-Eco 250,817.5
Solar panels,KESP326,K-Eco 325x,1052.09
Landscape lighting,KEBL100,Bistro String lights - 100 ft - white,65.99
Batteries,KEBA212,K-Eco AA  NiMH rechargeable batteries (12-pack),21.59
Lightbulbs,KELB138,K-Eco Energy Bulbs 13W  (8-pack),24.99
Solar panels,KESP300,K-Eco 300,981
Lightbulbs,KERL200,Smart Rope lights - Color changing ,35
Landscape lighting,KERL100,Rope lights - White,26.99
Lightbulbs,KELB092,K-Eco Energy Bulbs 9W (2-pack),7.53
Lightbulbs,KELB098,K-Eco Energy Bulbs 9W  (8-pack),22.99
EV charger,KEEV002,Car charger - L2,1900
Landscape lighting,KERL700,Rope lights - Blue,26.99
Solar panels,KESP001,K-Eco phone charger,44.89
Solar panels,KESP180,K-Eco 180,588.6
Landscape lighting,KEPL004,K-Eco Solar path light  (4-pack),29.99
Batteries,KEBB048,K-Eco 48-volt Lithium-ion solar backup battery,13233
Solar panels,KESP575,K-Eco 575,1006.25
Landscape lighting,KEBL060,Bistro String lights - 60 ft - white,46.99
Solar panels,KESP700,K-Eco 700,2289
Landscape lighting,KEWS008,Solar wall sconces (8pk),58.99
Lightbulbs,KELB238,K-Eco Energy Bulbs 23W  (8-pack),29.99
Landscape lighting,KEBL040,Bistro String lights - 40 ft - white,27.99
Solar panels,KESP225,K-Eco 225,735.75
Lightbulbs,KELB134,K-Eco Energy Bulbs 13W (4-pack),15.99
Batteries,KEBB018,K-Eco 18-volt Lithium-ion solar backup battery,5800
Wind harvester,KEWH200,K-Eco Blast 200,550
Lightbulbs,KESL194,K-Eco Smart Bulbs 9W color change (4-pack),29.99
Wind harvester,KEWH600,K-Eco Blast 600,1025
Grid Tie Inverters,KIGT020,K-Invert 20K,3600
Lightbulbs,KESL192,K-Eco Smart Bulbs 9W color change (2-pack),15.99
Landscape lighting,KEPL012,K-Eco Solar path light  (12-pack),89.99
Solar panels,KESP325,K-Eco 325,1062.75
Batteries,KEBA208,K-Eco AA  NiMH rechargeable batteries (8-pack),14.39
Solar panels,KESP060,K-Eco Mini ,89.99
Solar panels,KESP450,K-Eco 450,1471.5
Lightbulbs,KELB232,K-Eco Energy Bulbs 23W (2-pack),11.39
Grid Tie Inverters,KIGT004,K-Invert 4K,1430
Grid Tie Inverters,KIGT009,K-Invert 9K,2430
Landscape lighting,KEWS004,Solar wall sconces (4pk),32.99
Lightbulbs,KESL092,K-Eco Smart Bulbs 9W dimmable (2-pack),15.2
Solar panels,KESP625,K-Eco 625,1430.63
Wind harvester,KEWH800,K-Eco Blast 800,1280
Lightbulbs,KELB202,K-Eco Energy Bulbs 20W (2-pack),9.99
Landscape lighting,KEPL001,K-Eco Solar path light ,10
Landscape lighting,KERL555,Rope lights - Multicolor,26.99
Wind harvester,KEWH120,K-Eco Blast 1200,2300
Landscape lighting,KERL300,Rope lights - Red,26.99
Wind harvester,KEWH100,K-Eco Blast 100,280
Landscape lighting,KECL040,Bistro String lights - 40 ft - Multicolor,45.5
Grid Tie Inverters,KIGT002,K-Invert 2K,1156
Landscape lighting,KEPL008,K-Eco Solar path light  (8-pack),55.05
Landscape lighting,KERL600,Rope lights - Green,26.99
Landscape lighting,KERL400,Rope lights - Orange,26.99
Wind harvester,KEWH401,K-Eco Blast 400x,1000.25
Lightbulbs,KELB092,K-Eco Energy Bulbs 13W (2-pack),8.5
Wind harvester,KEWH400,K-Eco Blast 400,880
Batteries,KEBB036,K-Eco 36-volt Lithium-ion solar backup battery,8100
Grid Tie Inverters,KIGT007,K-Invert 7K,1890
Batteries,KEBB012,K-Eco 12-volt Lithium-ion solar backup battery,5100
Lightbulbs,KELB123,K-Eco Energy Bulbs 13W (2-pack),8.5
